Network,Node,Degree,PageRank,Betweenness,Community,Label
Marvel,LIVING LIGHTNING/MIG,352,0.0008321435023106291,0.0014471651306876788,8,Regular
Marvel,KALA,48,0.00013920947573762893,3.202579601379406e-05,3,Regular
Marvel,RAGE/ELVIN DARYL HAL,280,0.0006788959208274098,0.001963796808266902,3,Regular
Marvel,GROTESK,50,0.00013446651241725348,0.0001345735075678591,7,Regular
Marvel,BRUTUS,25,7.702610576475042e-05,1.673830661899597e-09,0,Regular
Marvel,SERSI/SYLVIA,581,0.0012972465292983737,0.0017130144817282572,7,Regular
Marvel,MIDNIGHT III/JEFFREY,33,0.00011531477075657921,1.5838691154114548e-05,1,Regular
Marvel,"HOWARD, PROFESSOR MA",38,0.00012576851748330784,1.536964047538426e-05,1,Regular
Marvel,BLACK KNIGHT/SIR PER,74,0.00019046742231771947,5.9465220273484336e-05,2,Regular
Marvel,JACK O'DIAMONDS,13,6.271927718734066e-05,6.615171858634044e-07,13,Regular
Marvel,MAXIMUS [INHUMAN],164,0.00041516643561253515,0.00024628597793106263,13,Regular
Marvel,MEDUSA/MEDUSALITH AM,449,0.0010662562691186365,0.0016418722790478586,13,Regular
Marvel,EXECUTIONER III/BRUT,18,6.0110402683213826e-05,0.0,7,Regular
Marvel,"SAPRISTI, JERRY",96,0.00023245769601051448,0.00030446812462844603,7,Regular
Marvel,QUICKSAND,143,0.00032373428268863455,7.604311250620379e-05,11,Regular
Marvel,MONGOOSE,62,0.00015801948162712316,1.9578411244752344e-05,7,Regular
Marvel,IMPALA/,60,0.00015006881335754362,8.818193209839181e-07,11,Regular
Marvel,LORELEI II/MELODI [A,122,0.000295376903360502,0.00027391544837864466,7,Regular
Marvel,"MASTERSON, KEVIN",127,0.000312725900177242,0.0005537573688079904,7,Regular
Marvel,EXECUTIONER II/SKURG,201,0.00045571915107423563,0.0009139915173057116,7,Regular
Marvel,FORGOTTEN ONE/GILGAM,187,0.00042758198559438737,0.0001712389498305921,7,Regular
Marvel,SHAPER OF WORLDS,29,9.19482380986726e-05,3.5374971482017898e-06,13,Regular
Marvel,GLORIAN/THOMAS GIDEO,22,8.060927388697678e-05,1.986094767240379e-06,13,Regular
Marvel,"SNIPES, DET.",13,5.602026119147439e-05,0.0,1,Regular
Marvel,SHOCKER/HERMAN SCHUL,146,0.00037839036548255507,0.00014928343579192086,1,Regular
Marvel,"TINKER, SHEA",16,7.086202577077168e-05,8.496608070141282e-08,1,Regular
Marvel,"ROBERTSON, RANDY",162,0.0004737140460113507,0.00016423225104071623,1,Regular
Marvel,"PARKER, HORACE",7,4.2722578591404634e-05,0.0,1,Regular
Marvel,GAUNT/MENDEL STROMM,61,0.00020218452628731747,4.742311059349057e-06,1,Regular
Marvel,"MCNAIR, TAD",5,3.843752483112418e-05,0.0,1,Regular
Marvel,TYPEFACE/GORDON THOM,8,4.751021513025603e-05,0.0,1,Regular
Marvel,"OSBORN, NORMAN",12,5.339208226465554e-05,0.0,1,Regular
Marvel,"SMITH, DAPHNE",4,3.5059733106983794e-05,0.0,1,Regular
Marvel,"PARKER, BEN",41,0.0001421497605404925,2.2870172517605883e-05,1,Regular
Marvel,GRIZZLY II/THEODORE ,42,0.00012071373534363629,1.4266507689751134e-06,5,Regular
Marvel,FIREFIST/RUSTY COLLI,191,0.0004352091735895912,0.00011687373981613533,5,Regular
Marvel,HAMMER III/EISENHOWE,22,7.13541550054609e-05,0.0,5,Regular
Marvel,WILDSIDE,101,0.0002514992410151815,3.814181522226452e-05,5,Regular
Marvel,FOREARM,114,0.00028272416935068456,5.160501357997675e-05,5,Regular
Marvel,REAPER II,81,0.0001983119938347538,1.2305428189006672e-05,5,Regular
Marvel,DRAGONESS,55,0.00014077270426517545,2.5783807395620926e-06,5,Regular
Marvel,KAMIKAZE,54,0.00014097828445980135,5.602749068800409e-06,5,Regular
Marvel,STROBE/,78,0.0001904917632166573,1.008107116237106e-05,5,Regular
Marvel,SKIDS/SALLY BLEVINS,190,0.0004428708551242066,0.00015351073953598194,5,Regular
Marvel,TEMPO,62,0.00015723138053660307,7.750284634247177e-06,5,Regular
Marvel,ZERO,105,0.0002502180769996368,1.8419318957601255e-05,5,Regular
Marvel,STRYFE,133,0.00033451391428943684,0.00011346246680289657,5,Regular
Marvel,WEAPON X II/GARRISON,66,0.00018122644030377097,5.0623650605480505e-06,5,Regular
Marvel,BLIZZARD/PROF. GREGO,56,0.0001496455162346427,8.722270791803274e-06,13,Regular
Marvel,CANDY,56,0.00015449201156397582,5.053706845968446e-06,1,Regular
Marvel,RANDI,56,0.00015449201156397582,5.053706845968446e-06,1,Regular
Marvel,ARRANGER/,105,0.0003010676722511114,6.367934715859057e-05,1,Regular
Marvel,"BALDWIN, MADELYNE MA",128,0.00034534238852235356,0.0008089854879282508,3,Regular
Marvel,LLYRA/LLYRA MORRIS,128,0.00031570132701129087,0.00018145357061361393,11,Regular
Marvel,"KENT, CLARK",172,0.00039145322214853903,0.0005289526312303396,5,Regular
Marvel,GHAUR [DEVIANT],162,0.00037968858342228947,0.00024765476806096865,7,Regular
Marvel,SET,44,0.00012066035356890221,9.878563644914826e-06,1,Regular
Marvel,"MERCADO, JOY",135,0.0003608320472363544,9.430185480776844e-05,1,Regular
Marvel,VIPER II,229,0.0005602645822070037,0.0005111080412639055,11,Regular
Marvel,"SWANN, DR. EVAN",70,0.0001958440198313246,1.9057925904983934e-05,1,Regular
Marvel,"BAKER, ANNE-MARIE",35,0.00011435185728852755,4.85649839964335e-06,1,Regular
Marvel,SUNTURION/ARTHUR DEA,21,7.61257772964134e-05,1.618985780373268e-05,0,Regular
Marvel,"HALE, JONAS",50,0.0001510524830415643,1.5108018862268659e-05,0,Regular
Marvel,SILVER,53,0.00013617079909787662,5.588297459928483e-06,8,Regular
Marvel,AURIC/,58,0.00014718591719829174,6.525637492400027e-06,8,Regular
Marvel,"DRAKE, CARLTON",35,0.000109153043290709,4.5558421308631487e-07,1,Regular
Marvel,"ENDO, DR. SUZI",30,0.00011002845172103357,6.832234391901914e-07,0,Regular
Marvel,"TODD, FISHER",38,0.00012179825264222412,1.6662147341740938e-05,0,Regular
Marvel,ULTRON 2010,9,4.786168699551741e-05,0.0,0,Regular
Marvel,WONDER MAN 2010/SIMO,9,4.786168699551741e-05,0.0,0,Regular
Marvel,CENTURY,104,0.00030475297177413776,0.0001209816397172427,0,Regular
Marvel,"RAMBEAU, MARIA",57,0.0001421581203922749,2.3659125203776477e-06,0,Regular
Marvel,"RAMBEAU, FRANK",52,0.00013158036090949276,2.269146679523963e-06,0,Regular
Marvel,"LATHAM, JORGE",18,6.17062540022487e-05,1.236952442257142e-07,0,Regular
Marvel,WIZARD/BENTLEY WITTM,244,0.0005583768852857129,0.00027204150293329304,1,Regular
Marvel,"REAGAN, RONALD",130,0.00029743808750451245,2.981207478511999e-05,5,Regular
Marvel,MOONSTONE II/KARLA S,429,0.0010052462782116107,0.0011150925720245816,11,Regular
Marvel,BEETLE/ABNER RONALD ,446,0.0010646447505359158,0.001547979565190278,11,Regular
Marvel,"SLOAN, FRED",51,0.00013733970831745807,5.492871317772073e-06,2,Regular
Marvel,TIGER SHARK/TODD ARL,191,0.00045411185782263377,0.0002346382386191581,11,Regular
Marvel,ELYSIUS,100,0.0002676682841583849,0.00018793827904658002,2,Regular
Marvel,BLACKOUT/MARCUS DANI,74,0.00018132179262172213,1.0476973641152827e-05,13,Regular
Marvel,"O'BRIEN, MICHAEL",283,0.0006421526896282042,0.0011961299823186214,2,Regular
Marvel,"SIKORSKY, RAYMOND",147,0.00034612044189129,0.00015520744799909489,11,Regular
Marvel,LUNA/LUNA MAXIMOFF [,239,0.0005545450170310273,0.00042692323180077053,0,Regular
Marvel,"DANNING, SHEILA",16,5.709747038692617e-05,1.6140809387066155e-07,0,Regular
Marvel,GAROKK,46,0.00013873866125421055,2.3576435016379096e-05,5,Regular
Marvel,"LETTERMAN, DAVID",16,7.742808444344135e-05,2.0598172705384104e-05,0,Regular
Marvel,DORMAMMU,149,0.0004787402613746561,0.0009613444418154134,2,Regular
Marvel,ELEKTRA/ELEKTRA NATC,101,0.0003487104380276716,0.0005889694920721862,1,Regular
Marvel,SELENE,185,0.00046262317694268154,0.0004689601285870014,5,Regular
Marvel,SUNDER,97,0.0002248885797972732,1.725081977744138e-05,5,Regular
Marvel,KULAN GATH,42,0.00011552046805623581,6.052160284717646e-06,5,Regular
Marvel,CALIBAN/,213,0.000505320064214969,0.00025960186644868617,5,Regular
Marvel,MAGMA/AMARA AQUILLA/,199,0.0004551845979179748,0.0009268266842150518,5,Regular
Marvel,WHIRLWIND/DAVID CANN,204,0.00046147011131124035,4.9860109015901436e-05,2,Regular
Marvel,"FREEMAN, DUANE JEROM",130,0.0003124855540257357,9.692883546913371e-05,0,Regular
Marvel,DEMOLITION MAN/DENNI,171,0.00040064587551351085,0.00016074816325972678,11,Regular
